Item,Description,Quantity,Unit Price (USD),Total Price (USD),Purchase Link
Orpheus Pico Microcontroller,Hack Club RP2040 Board (Orpheus Pico),1,0.00,0.00,https://github.com/hackclub/orpheus-pico
Mechanical Switches,Outemu Silent White Linear Switches (90 pcs),90,0.27,23.90,https://www.aliexpress.com/item/1005002378701948.html
Keycap Set,132 Keys White Blank MOA Profile PBT Keycaps,1,20.96,20.96,https://www.aliexpress.com/item/1005009872636789.html?mp=1
1N4148 Diodes,100pcs 1N4148 In-line Switching Diodes,100,0.016,1.64,https://www.aliexpress.com/item/1005002339916163.html
EC11 Rotary Encoders,EC11 20mm D-Shaft Rotary Encoder,2,1.75,3.50,https://www.aliexpress.com/item/1005008790852587.html?mp=1
PCB Mount Stabilizers,2x Stabilizers (1x Spacebar 6.25u / 1x Left Shift 2u),2,1.82,3.65,https://www.aliexpress.com/item/1005007299976098.html?pdp_ext_f=%7B%22order%22%3A%2270%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D
M3 screws,M3 x 20mm Machine Screws ,1,5.22,5.22,https://www.aliexpress.com/item/32794842281.html?mp=1
Heat-Set Inserts,HANGLIFE 100pcs M3 x D5 x L4 Brass Heat-Set Threaded Inserts,100,0.057,5.66,https://www.amazon.ca/gp/product/B0CS6VZYL8/ref=ewc_pr_img_1?smid=A2SU9MLZ0N1BK2&th=1
Custom PCB Fabrication,JLCPCB 2-Layer Custom PCB (5 pcs incl. shipping & duties),1,58.85,58.85,https://jlcpcb.com/
TOTAL,,,,,$128.30
